WORD,SEARCH,EditDistance
aaa,aaa,0
aaa,aa,1
aaa,aaa6,1
aaa,aaaa,1
aaaa,aaaa,0
aaaa,aaa,1
aaaa,aaaaa,1
aab,aab,0
aab,aaab,1
aab,aab2,1
aab,aabover,4
aaba,aaba,0
aaba,aabau,1
aaba,aabba,1
aaba,aalba,1
aaba,aba,1
aaba,aaab,2
aabb,aabb,0
aabb,aaabb,1
aabb,aabbz,1
aabb,aabib,1
aabc,aabc,0
aabc,a3abc,1
aabc,aacb,2
aabc,abac,2
aabc,andaabc,3
aabee,aabee,0
aabee,aabeee,1
aabee,aaebe,2
aacces,aacces,0
aacces,aaccces,1
aacces,aaccges,1
aacd,aacd,0
aacd,aaacd,1
aacd,acd,1
aacd,onaacd,2
aaces,aaces,0
aaces,aacbes,1
aaces,aeaces,1
aaces,acaes,2
aad,aad,0
aad,aa,1
aad,aaad,1
aad,aawd,1
aad,akad,1
aadam,aadam,0
aadam,aaadam,1
aadam,aacdam,1
aadam,aaadm,2
aadam,adaam,2
aaec,aaec,0
aaec,aaaec,1
aaec,aae7c,1
aaec,aeac,2
aaec,oraaec,2
aaerial,aaerial,0
aaerial,aaeerial,1
aaerial,aaeirial,1
aaerial,afaerial,1
aaerial,aareial,2
aagee,aagee,0
aagee,aage,1
aagee,agee,1
aagh,aagh,0
aagh,aaagh,1
aagh,aag,1
aagh,aagvh,1
aagh,agh,1
aagh,aaghhalf,4
aahh,aahh,0
aahh,aah,1
aahh,aahhm,1
aahh,ahah,2
aahzz,aahzz,0
aahzz,aahzzz,1
aahzz,ahzz,1
aahzz,asahzz,1
aaid,aaid,0
aaid,aaaid,1
aaid,aaikd,1
aaid,aid,1
aaid,aadi,2
aaip,aaip,0
aaip,aaaip,1
aaip,aip,1
aaip,aapi,2
aam,aam,0
aam,aa,1
aam,am,1
aam,anam,1
aam,ama,2
aammo,aammo,0
aammo,aammxo,1
aammo,aamo,1
aammo,aeammo,1
aants,aants,0
aants,aant,1
aants,ants,1
aants,anats,2
aao,aao,0
aao,aaoo,1
aao,ouraao,3
aap,aap,0
aap,aa,1
aap,ap,1
aap,apa,2
aar,aar,0
aar,aaar,1
aar,aarr,1
aar,akar,1
aar,ar,1
aardvark,aardvark,0
aardvark,aardvarkj,1
aardvark,aardvarrk,1
aardvark,aardvrak,2
aardvark,aarvdark,2
aarf,aarf,0
aarf,aaarf,1
aarf,aaf,1
aarf,aar,1
aarf,aarff,1
aarf,aarrf,1
aarff,aarff,0
aarff,aarf,1
aarff,aarfkf,1
aarff,arff,1
aarff,aarfffive,4
aarte,aarte,0
aarte,aartee,1
aarte,aartte,1
aarte,acarte,1
aasc,aasc,0
aasc,aas,1
aasc,afasc,1
aasc,aacs,2
aasc,asac,2
aasc,suchaasc,4
aaspn,aaspn,0
aaspn,aasp,1
aaspn,aasspn,1
aaspn,aasnp,2
aatm,aatm,0
aatm,aaatm,1
aatm,aatmn,1
aatm,atam,2
aatm,aatmpast,4
aba,aba,0
aba,aa,1
aba,aba9,1
aba,abai,1
aba,baa,2
aback,aback,0
aback,aack,1
aback,abafck,1
aback,abcack,1
aback,abck,1
aback,abakc,2
abaco,abaco,0
abaco,abco,1
abaco,abaoc,2
abaco,anabaco,2
abaetement,abaetement,0
abaetement,ababetement,1
abaetement,abaeteement,1
abaetement,abaetemnt,1
abaetement,abaettement,1
abaetement,notabaetement,3
abajo,abajo,0
abajo,aajo,1
abajo,abajoo,1
abajo,abwajo,1
abajo,aabjo,2
abajo,baajo,2
abandon,abandon,0
abandon,aband1on,1
abandon,abandion,1
abandon,abandonn,1
abandon,abadnon,2
abandonded,abandonded,0
abandonded,abandondedg,1
abandonded,abandondeed,1
abandonded,abandonnded,1
abandonded,baandonded,2
abandoned,abandoned,0
abandoned,aandoned,1
abandoned,abandgoned,1
abandoned,abbandoned,1
abandoned,bandoned,1
abandoning,abandoning,0
