WORD,SEARCH,EditDistance
aaf,aaf,0
aaf,aaff,1
aaf,af,1
aaf,afa,2
aafg,aafg,0
aafg,aaafg,1
aafg,aaf,1
aafg,aagf,2
aafg,afag,2
aalle,aalle,0
aalle,aalgle,1
aalle,aalleh,1
aalle,aallle,1
aalle,aallqe,1
aalle,alle,1
aanah,aanah,0
aanah,aaanah,1
aanah,aanh,1
aanah,auanah,1
aanah,anaah,2
aanah,manyaanah,4
abandonment,abandonment,0
abandonment,abandoment,1
abandonment,abandonmeent,1
abandonment,abandonmennt,1
abandonment,abapndonment,1
abas,abas,0
abas,abaas,1
abas,abams,1
abas,abbas,1
abas,bas,1
abas,baas,2
abatement,abatement,0
abatement,aatement,1
abatement,abatemennt,1
abatement,abatementt,1
abatement,abmatement,1
abatement,baatement,2
abbreviations,abbreviations,0
abbreviations,abbreviaations,1
abbreviations,abbreviatiions,1
abbreviations,abbreviatioons,1
abbreviations,abbrevinations,1
abbreviations,abbrneviations,1
abc,abc,0
abc,abbc,1
abc,aibc,1
abc,axbc,1
abc,acb,2
abc,bac,2
abdb,abdb,0
abdb,aabdb,1
abdb,abbdb,1
abdb,abd,1
abdb,adb,1
abdb,abdbon,2
abeam,abeam,0
abeam,abea,1
abeam,abeeam,1
abeam,abem,1
abeam,abaem,2
abeam,baeam,2
aberdeen,aberdeen,0
aberdeen,aberdee,1
aberdeen,aberdeeen,1
aberdeen,aberdeenn,1
aberdeen,aberdeven,1
abets,abets,0
abets,abeits,1
abets,aets,1
abets,abest,2
abets,aebts,2
abf,abf,0
abf,ahbf,1
abf,afb,2
abf,baf,2
abgd,abgd,0
abgd,abegd,1
abgd,abigd,1
abgd,agbgd,1
abgd,agd,1
abgd,notabgd,3
ablished,ablished,0
ablished,ablisheed,1
ablished,ablxished,1
ablished,albished,2
abnormalities,abnormalities,0
abnormalities,ablnormalities,1
abnormalities,abnoralities,1
abnormalities,abnormalitiees,1
abnormalities,abnormalitiesof,2
abnormalities,abnormlaities,2
aboart,aboart,0
aboart,aboat,1
aboart,abaort,2
aboart,aboatr,2
abomination,abomination,0
abomination,abgomination,1
abomination,abomiination,1
abomination,abominationn,1
abomination,aomination,1
abomination,abominationsave,4
about,about,0
about,abot,1
about,abrout,1
about,aboutanti,4
aboutt,aboutt,0
aboutt,abott,1
aboutt,aboutgt,1
aboutt,aboutwt,1
aboutt,boutt,1
aboutt,baoutt,2
abps,abps,0
abps,aabps,1
abps,ajbps,1
abps,aps,1
abps,apbs,2
abrupt,abrupt,0
abrupt,abrrupt,1
abrupt,abruppt,1
abrupt,abruptp,1
