CUI,STR
C0000735,Neoplasm of abdomen
C0000744,Abetalipoproteinemia
C0000774,Abnormality of secretion of gastrin
C0000809,Recurrent miscarriage
C0000814,Missed miscarriage
C0000833,Abscess
C0000833,Abscess morphology
C0000880,Acanthamoeba keratitis
C0000889,Acanthosis nigricans
C0001125,Lactic acidosis
C0001126,Renal tubular acidosis
C0001127,Respiratory acidosis
C0001139,Infection caused by Acinetobacter
C0001144,Acne vulgaris
C0001145,Acne keloid
C0001145,Acne keloidalis
C0001145,Folliculitis keloidalis nuchae
C0001163,Disorder of acoustic nerve
C0001169,Acquired coagulation factor deficiency
C0001175,AIDS
C0001206,Acromegaly
C0001207,Hypersomatotropic gigantism
C0001231,Hypercortisolism due to nonpituitary tumor
C0001231,Ectopic ACTH secretion
C0001249,Actinobacillus infection
C0001255,Infection caused by Actinomycetales
C0001261,Actinomycotic infection
C0001263,Abdominal actinomycosis
C0001264,Cervicofacial actinomycosis
C0001304,Acute abscess
C0001305,Acute adenoviral follicular conjunctivitis
C0001306,Acute alcoholic liver disease
C0001308,Acute and subacute liver necrosis
C0001309,Acute atopic conjunctivitis
C0001311,Acute bronchiolitis
C0001314,Acute disease
C0001327,Acute laryngitis
C0001338,Herpetic acute necrotizing encephalitis
C0001339,Acute pancreatitis
C0001342,Acute periodontitis
C0001344,Acute pharyngitis
C0001360,Acute thyroiditis
C0001361,Acute tonsillitis
C0001363,Acute vascular insufficiency of intestine
C0001396,Stokes-Adams attack
C0001403,Addison's disease
C0001403,Primary adrenocortical insufficiency
C0001418,Adenocarcinoma
C0001418,Malignant adenomatous neoplasm
C0001420,Papillary adenocarcinoma
C0001422,Benign adenofibroma
C0001427,Adenoiditis
C0001429,Adenolymphoma
C0001430,Adenoma
C0001430,Benign adenomatous neoplasm
C0001431,Basophil adenoma
C0001432,Chromophobe adenoma
C0001433,Acidophil adenoma
C0001442,Adenosarcoma
C0001486,Disease due to Adenovirus
C0001529,Lipomatosis dolorosa
C0001539,Adjustment disorder with depressed mood
C0001540,Adjustment disorder with disturbance of conduct
C0001541,Adjustment disorder with mixed disturbance of emotions AND conduct
C0001542,Adjustment disorder with mixed emotional features
C0001543,Adjustment disorder with physical complaints
C0001544,Adjustment disorder with withdrawal
C0001546,Adjustment disorder
C0001548,Brief depressive adjustment reaction
C0001614,Disorder of adrenal cortex
C0001618,Neoplasm of adrenal cortex
C0001621,Disorder of adrenal gland
C0001622,Hypercortisolism
C0001622,Adrenocortical hyperfunction
C0001623,Hypoadrenalism
C0001624,Neoplasm of adrenal gland
C0001627,Congenital adrenal hyperplasia
C0001630,Adrenal rest tumor
C0001676,Adult antisocial behavior
C0001707,Aerophagy
C0001723,Affective psychosis
C0001727,Afferent loop syndrome
C0001733,Afibrinogenemia
C0001768,Agammaglobulinemia
C0001815,Myelosclerosis with myeloid metaplasia
C0001816,Agnosia
C0001818,Agoraphobia
C0001818,Fear of open spaces
C0001819,Agoraphobia without history of panic disorder
C0001824,Agranulocytosis
C0001825,Agraphia
C0001849,Dementia associated with AIDS
C0001860,Ainhum
C0001882,Air sickness
C0001883,Respiratory obstruction
C0001889,Akinetic mutism
C0001906,Alastrim
C0001916,Albinism
C0001940,Alcohol amnestic disorder
C0001957,Alcohol withdrawal delirium
C0001969,Alcohol intoxication
C0001973,Alcoholism
C0001973,Alcohol dependence
C0001973,Persistent alcohol abuse
C0002016,Aleutian disease
C0002018,Alexia
C0002020,Alexithymia
C0002063,Alkalosis
C0002066,"Homogentisate 1,2-dioxygenase deficiency"
C0002098,Hypersensitivity granuloma
C0002170,Alopecia
C0002170,Loss of hair
C0002171,Alopecia areata
C0002173,Alopecia mucinosa
C0002176,Endocrine alopecia
C0002178,Nutritional alopecia
C0002179,Hypotrichosis following infectious disease
C0002180,Postpartum alopecia
C0002181,Syphilitic alopecia
C0002182,Traumatic alopecia
C0002312,Alpha thalassemia
C0002351,Anoxia due to high altitude
C0002351,Effects of high altitude
C0002382,Alveolar bone loss
C0002390,Extrinsic allergic alveolitis
C0002395,Alzheimer's disease
C0002418,Amblyopia
C0002419,Tobacco amblyopia
C0002438,Amebic infection
C0002438,Disease due to Endamoebidae
C0002441,Amebiasis of skin
C0002445,Ameboma
C0002448,Ameloblastoma
C0002514,Disorders of amino acid transport and metabolism
C0002514,Disorder of amino acid metabolism
C0002514,Inborn error of amino acid metabolism
C0002622,Amnesia
C0002623,Post-traumatic amnesia
C0002624,Retrograde amnesia
C0002625,Amnestic disorder
C0002631,Infection of amniotic cavity
C0002636,Constriction ring syndrome
C0002726,Amyloidosis
C0002735,Amyotonia congenita
C0002736,Amyotrophic lateral sclerosis
C0002768,Congenital indifference to pain
C0002792,Anaphylaxis
C0002793,Dedifferentiation
C0002797,Anaplasmosis
C0002831,Ancylostomiasis
C0002871,Anemia
C0002873,Anemia of chronic disease
C0002874,Hematopoietic aplasia
C0002874,Aplastic anemia
C0002875,Homozygous beta thalassemia
C0002875,Thalassemia major
C0002876,Congenital dyserythropoietic anemia
C0002878,Hemolytic anemia
C0002879,Acquired hemolytic anemia
C0002880,Autoimmune hemolytic anemia
C0002881,Congenital hemolytic anemia
C0002881,Hereditary hemolytic anemia
C0002882,Hereditary nonspherocytic hemolytic anemia
C0002886,Macrocytic anemia
C0002888,Megaloblastic anemia
C0002890,Myelophthisic anemia
C0002891,Neonatal anemia
C0002892,Pernicious anemia
C0002893,Refractory anemia
C0002894,Refractory anemia with excess blasts (clinical)
C0002894,Refractory anemia with excess blasts
C0002895,Sickle cell-hemoglobin SS disease
C0002895,Sickling disorder due to hemoglobin S
C0002896,Sideroblastic anemia
C0002949,Dissection of artery
C0002959,Angiectasia
C0002963,Prinzmetal angina
C0002965,Impending infarction
C0002983,Angioid streaks of choroid
C0002985,Angiokeratoma
C0002986,Deficiency of alpha-galactosidase
C0002986,Fabry's disease
C0002989,Epithelioid hemangioma of skin
C0002991,Dermatofibroma
C0002991,Fibrous histiocytoma of skin
C0002991,Sclerosing angioma
C0002991,Sclerosing angioma of skin
C0002992,Angiomatosis
C0003028,Anhidrosis
C0003028,Absence of sweating
C0003081,Anisometropia
C0003107,Pruritis of skin of anogenital region
C0003113,Anomic aphasia
C0003125,Anorexia nervosa
C0003128,Anovulation
C0003152,Anterior tibial compartment syndrome
C0003164,Anthracosilicosis
C0003165,Coal workers' pneumoconiosis
C0003175,Anthrax
C0003177,Cutaneous anthrax
C0003431,Antisocial personality disorder
C0003460,Anuria
C0003462,Disorder of anus
C0003463,Neoplasm of anus
C0003467,Anxiety
C0003469,Anxiety disorder
C0003471,Anxiety disorder of childhood OR adolescence
C0003476,Castration anxiety complex
C0003477,Separation anxiety
C0003486,Aortic aneurysm
C0003493,Disorder of aorta
C0003499,Supravalvar aortic stenosis
C0003504,Aortic valve regurgitation
C0003507,Aortic valve stenosis
C0003509,Aortitis
C0003511,Syphilitic aortitis
C0003537,Aphasia
C0003550,Motor aphasia
C0003550,Broca's dysphasia
C0003614,Neoplasm of appendix
C0003615,Appendicitis
C0003635,Dyspraxia
C0003635,Apraxia
C0003650,Apudoma
C0003708,Arachnoiditis
C0003721,Arbovirus hemorrhagic fever
C0003723,Arbovirus infection
C0003742,Arcus senilis
C0003742,Arcus of cornea
C0003756,Disease due to Arenavirus
C0003810,Sertoli-Leydig cell tumor of ovary
C0003811,Cardiac arrhythmia
C0003834,Arterial insufficiency
C0003848,Arteriolitis
C0003850,Arteriosclerosis
C0003850,Arteriosclerotic vascular disease
C0003850,Vascular sclerosis
C0003851,Arteriosclerosis obliterans
C0003861,Pulmonary arteritis
C0003864,Arthritis
C0003868,Gouty arthropathy
C0003868,Articular gout
C0003868,Joints gout affected
C0003869,Infective arthritis
C0003872,Psoriasis with arthropathy
C0003872,Psoriatic arthritis
C0003873,Rheumatoid arthritis
C0003874,Acute suppurative arthritis due to bacteria
C0003875,Arthritis due to viral infection
C0003886,Arthrogryposis
C0003892,Charcot's arthropathy
C0003892,Arthropathy associated with a neurological disorder
C0003907,Arthus type urticaria
C0003907,Arthus reaction
C0003949,Asbestosis
C0003950,Ascariasis
C0003952,Infection by Ascaridia
C0003962,Ascites
C0003969,Ascorbic acid deficiency
C0003977,Aseptic necrosis of head AND/OR neck of femur
C0004030,Aspergillosis
C0004031,Allergic bronchopulmonary aspergillosis
C0004032,Disseminated aspergillosis
C0004045,Birth asphyxia
C0004045,"Asphyxia, in liveborn infant"
C0004058,Allergy to aspirin
C0004090,Astasia-abasia
C0004095,Eye strain
C0004095,Accommodative asthenopia
C0004096,Asthma
C0004099,Exercise-induced asthma
C0004106,Astigmatism
C0004114,Astrocytoma
C0004135,Ataxia-telangiectasia syndrome
C0004138,Hereditary ataxia
C0004153,Atherosclerosis
C0004158,Athetosis
C0004158,Athetoid movement
C0004186,Atony of gallbladder
C0004238,Atrial fibrillation
C0004245,Atrioventricular block
C0004269,Child attention deficit disorder
C0004310,Auditory processing disorder
