"﻿Abbott, David C.","﻿Abbott, David C."
Abelian Higgs model,Abelian Higgs model
aberration of stellar light,aberration of stellar light
Abney’s law of additivity,Abney’s law of additivity
Abelian string,Abelian string
A-boundary,A-boundary
absolute humidity,absolute humidity
absorptance,absorptance
absorption coefficient,absorption coefficient
absolute magnitude,absolute magnitude
absorption cross-section,absorption cross-section
absolute space and time,absolute space and time
absorption efficiency factor,absorption efficiency factor
absorption fading,absorption fading
absolute viscosity,absolute viscosity
absorption line,absorption line
absolute zero,absolute zero
abstract index notation,abstract index notation
Absorbance,Absorbance
abyssal circulation,abyssal circulation
abyssal plain,abyssal plain
acceleration due to gravity (g),acceleration due to gravity (g)
accreted terrain,accreted terrain
Accretion,Accretion
accretionary prism (accretionary wedge),accretionary prism (accretionary wedge)
accretion disk,accretion disk
"accretion, hypercritical","accretion, hypercritical"
"accretion, Super-Eddington","accretion, Super-Eddington"
Achilles,Achilles
Achondrite,Achondrite
"accretion, Eddington","accretion, Eddington"
achromatic objective,achromatic objective
achronal set,achronal set
acoustic tomography,acoustic tomography
activation entropy ( Sa ),activation entropy ( Sa )
Actinides,Actinides
Action,Action
activation volume ( V ),activation volume ( V )
active continental margin,active continental margin
active fault,active fault
activation energy (Ha ),activation energy (Ha )
active front,active front
active region,active region
active galactic nuclei (AGN),active galactic nuclei (AGN)
Adiabat,Adiabat
adiabatic atmosphere,adiabatic atmosphere
active margins,active margins
adiabatic condensation point,adiabatic condensation point
adiabatic cooling,adiabatic cooling
adiabatic invariant,adiabatic invariant
adiabatic deceleration,adiabatic deceleration
adiabatic lapse rate,adiabatic lapse rate
ADM form of the Einstein–Hilbert action,ADM form of the Einstein–Hilbert action
adiabatic dislocation,adiabatic dislocation
adiabatic equilibrium,adiabatic equilibrium
adiabatic index,adiabatic index
ADV (Acoustic Doppler Velocimeter),ADV (Acoustic Doppler Velocimeter)
ADM mass,ADM mass
advance of the perihelion,advance of the perihelion
Advection,Advection
Adrastea,Adrastea
advection dominated accretion disks,advection dominated accretion disks
affine connection,affine connection
advective heat transfer (or advective heat transport),advective heat transfer (or advective heat transport)
Aeolian,Aeolian
Aerosol,Aerosol
African wave,African wave
Aesthenosphere,Aesthenosphere
airfoil probe,airfoil probe
afternoon cloud (Mars),afternoon cloud (Mars)
Airglow,Airglow
air gun,air gun
aftershocks,aftershocks
ageostrophic flow,ageostrophic flow
Airy compensation,Airy compensation
agonic line,agonic line
Airy isostasy,Airy isostasy
Air,Air
Airy wave theory,Airy wave theory
"Aitken, John","Aitken, John"
Aitken nucleus coun,Aitken nucleus coun
Alba Patera,Alba Patera
Airy phase,Airy phase
Albedo,Albedo
albedo of a surface,albedo of a surface
albedo of single scattering,albedo of single scattering
Alcyone,Alcyone
Aldebaran,Aldebaran
Alfvénic fluctuation,Alfvénic fluctuation
Alfvénicity,Alfvénicity
albedo neutrons,albedo neutrons
Alfvén layer,Alfvén layer
Alfvén shock,Alfvén shock
Alfvén’s theorem,Alfvén’s theorem
Alfvén wave,Alfvén wave
Algol system,Algol system
Allan Hills meteorite,Allan Hills meteorite
allowed orbits,allowed orbits
all sky camera,all sky camera
Alluvial,Alluvial
alluvial fan,alluvial fan
alongshore sediment transport,alongshore sediment transport
Alpha Centauri,Alpha Centauri
alpha particle,alpha particle
Altair,Altair
alternate depths,alternate depths
Altitude,Altitude
α effect,α effect
Alpha effect,Alpha effect
Amalthea,Amalthea
Amazonian,Amazonian
Amor asteroid,Amor asteroid
Ampere,Ampere
"Ambartsumian, Viktor Amazaspovich","Ambartsumian, Viktor Amazaspovich"
Ampere’s law,Ampere’s law
amphidrome (amphidromic point),amphidrome (amphidromic point)
Am star,Am star
ambipolar field,ambipolar field
anabatic wind,anabatic wind
Analemma,Analemma
Anemometer,Anemometer
Ananke,Ananke
angle of repose,angle of repose
angle-redshift test,angle-redshift test
Andromeda galaxy,Andromeda galaxy
anelastic deformation,anelastic deformation
Ångström (Å),Ångström (Å)
anisotropic turbulence,anisotropic turbulence
angular diameter distance,angular diameter distance
anisotropic universe,anisotropic universe
Anisotropy,Anisotropy
angular momentum L = r × p,angular momentum L = r × p
angular velocity (ω),angular velocity (ω)
Anisotropic,Anisotropic
annual flood,annual flood
annular eclipse,annular eclipse
anisotropic scattering,anisotropic scattering
anomalistic month,anomalistic month
